Tiempo(s),Voltaje(V)
0,0.00
1,0.02
2,0.26
3,0.41
4,0.56
5,0.77
6,0.92
7,1.05
8,1.25
9,1.38
10,1.51
11,1.69
12,1.81
13,1.93
14,2.10
15,2.21
16,2.32
17,2.48
18,2.58
19,2.73
20,2.83
21,2.93
22,3.07
23,3.16
24,3.24
25,3.37
26,3.46
27,3.54
28,3.66
29,3.74
30,3.82
31,3.93
32,4.00
33,4.07
34,4.18
35,4.25
36,4.31
37,4.41
38,4.48
39,4.54
40,4.63
41,4.69
42,4.78
43,4.83
44,4.89
45,4.97
46,5.02
47,5.07
48,5.15
49,5.20
50,5.25
51,5.32
52,5.36
53,5.41
54,5.47
55,5.51
56,5.56
57,5.62
58,5.66
59,5.70
60,5.75
61,5.79
62,5.83
63,5.88
64,5.92
65,5.97
66,6.00
67,6.03
68,6.08
69,6.11
70,6.15
71,6.19
72,6.22
73,6.25
74,6.29
75,6.32
76,6.35
77,6.39
78,6.41
79,6.44
80,6.47
81,6.50
82,6.52
83,6.56
84,6.58
85,6.60
86,6.63
87,6.65
88,6.69
89,6.71
90,6.73
91,6.76
92,6.78
93,6.79
94,6.82
95,6.84
96,6.86
97,6.88
98,6.90
99,6.91
100,6.94
101,6.95
102,6.97
103,6.99
104,7.01
105,7.02
106,7.04
107,7.05
108,7.07
109,7.09
110,7.10
111,7.12
112,7.13
113,7.14
114,7.16
115,7.17
116,7.18
117,7.20
118,7.21
119,7.22
120,7.24
121,7.25
122,7.26
123,7.27
124,7.28
125,7.29
126,7.30
127,7.31
128,7.32
129,7.33
130,7.34
131,7.35
132,7.36
133,7.37
134,7.38
135,7.39
136,7.39
137,7.40
138,7.41
139,7.42
140,7.43
141,7.44
142,7.44
143,7.45
144,7.46
145,7.46
146,7.47
147,7.48
148,7.49
149,7.49
150,7.49
151,7.50
152,7.51
153,7.51
154,7.52
155,7.53
156,7.53
157,7.54
158,7.54
159,7.55
160,7.55
161,7.56
162,7.56
163,7.57
164,7.57
165,7.57
166,7.58
167,7.58
168,7.59
169,7.59
170,7.59
171,7.60
172,7.60
173,7.60
174,7.61
175,7.61
176,7.62
177,7.62
178,7.62
179,7.62
180,7.63
181,7.63
182,7.64
183,7.64
184,7.64
185,7.64
186,7.65
187,7.65
188,7.65
189,7.65
190,7.66
191,7.66
192,7.66
193,7.66
194,7.67
195,7.67
196,7.67
197,7.67
198,7.67
199,7.68
200,7.68
201,7.68
202,7.68
203,7.68
204,7.68
205,7.69
206,7.69
207,7.69
208,7.69
209,7.69
210,7.69
211,7.70
212,7.70
213,7.70
214,7.70
215,7.70
216,7.70
217,7.70
218,7.71
219,7.71
220,7.71
221,7.71
222,7.71
223,7.71
224,7.71
225,7.71
226,7.71
227,7.72
228,7.72
229,7.72
230,7.72
231,7.72
232,7.72
233,7.72
234,7.72
235,7.72
236,7.72
237,7.72
238,7.72
239,7.73
240,7.73
241,7.73
242,7.73
243,7.73
244,7.73
245,7.73
246,7.73
247,7.73
248,7.73
249,7.73
250,7.73
251,7.73
252,7.73
253,7.73
254,7.73
255,7.73
256,7.73
257,7.73
258,7.73
